NO,시군구,계약년월,거래금액(만원),기간,금값(1g)
188,서울특별시 송파구 풍납동,201906,85000,202001,59305
189,서울특별시 송파구 석촌동,201906,90000,202001,59010
190,서울특별시 송파구 잠실동,201906,211425,202001,59770
191,서울특별시 송파구 장지동,201906,118500,202001,57728
192,서울특별시 송파구 오금동,201906,158000,202001,58017
193,서울특별시 송파구 풍납동,201906,78500,202001,58349
194,서울특별시 송파구 신천동,201906,189000,202001,57848
195,서울특별시 송파구 잠실동,201906,140500,202001,57514
196,서울특별시 송파구 잠실동,201906,185000,202001,57845
197,서울특별시 송파구 잠실동,201906,160000,202001,58032
198,서울특별시 송파구 방이동,201906,79500,202001,58046
199,서울특별시 송파구 문정동,201906,55000,202001,58265
200,서울특별시 송파구 오금동,201906,117000,202001,58297
201,서울특별시 송파구 오금동,201906,104000,202001,58702
202,서울특별시 송파구 오금동,201906,118800,202001,58338
203,서울특별시 송파구 풍납동,201906,80000,202001,58517
204,서울특별시 송파구 장지동,201906,80000,202001,58693
205,서울특별시 송파구 신천동,201906,133000,202001,59231
206,서울특별시 송파구 문정동,201906,173000,202001,59894
207,서울특별시 송파구 송파동,201906,65000,202001,59789
208,서울특별시 송파구 잠실동,201906,177000,202001,59489
209,서울특별시 송파구 송파동,201906,100500,202001,60611
210,서울특별시 송파구 문정동,201906,116000,202001,60512
211,서울특별시 송파구 잠실동,201906,167000,202002,61291
212,서울특별시 송파구 가락동,201906,74000,202002,60624
213,서울특별시 송파구 장지동,201906,93000,202002,60173
214,서울특별시 송파구 송파동,201906,124800,202002,59868
215,서울특별시 송파구 잠실동,201906,140000,202002,59371
216,서울특별시 송파구 문정동,201906,45000,202002,59953
217,서울특별시 송파구 잠실동,201906,168000,202002,60341
218,서울특별시 송파구 신천동,201906,117000,202002,60167
219,서울특별시 송파구 잠실동,201906,83000,202002,59750
220,서울특별시 송파구 신천동,201906,145000,202002,59506
221,서울특별시 송파구 오금동,201906,44500,202002,60010
222,서울특별시 송파구 잠실동,201906,161000,202002,60040
223,서울특별시 송파구 마천동,201906,71200,202002,60439
224,서울특별시 송파구 잠실동,201906,170000,202002,60221
225,서울특별시 송파구 잠실동,201906,165000,202002,60920
226,서울특별시 송파구 신천동,201906,121000,202002,61451
227,서울특별시 송파구 잠실동,201906,164000,202002,62084
228,서울특별시 송파구 잠실동,201906,182000,202002,63708
229,서울특별시 송파구 오금동,201906,175000,202002,63812
230,서울특별시 송파구 문정동,201906,155000,202002,65563
231,서울특별시 송파구 거여동,201906,84900,202002,63924
232,서울특별시 송파구 거여동,201906,53000,202002,64369
233,서울특별시 송파구 잠실동,201906,172000,202002,64351
234,서울특별시 송파구 잠실동,201906,155000,202002,63499
235,서울특별시 송파구 가락동,201906,87000,202002,61192
236,서울특별시 송파구 신천동,201906,132000,202003,61304
237,서울특별시 송파구 잠실동,201906,180500,202003,61360
238,서울특별시 송파구 신천동,201906,74000,202003,62434
239,서울특별시 송파구 신천동,201906,148700,202003,62402
240,서울특별시 송파구 가락동,201906,71000,202003,64024
241,서울특별시 송파구 풍납동,201906,86900,202003,64092
242,서울특별시 송파구 잠실동,201906,173000,202003,65070
243,서울특별시 송파구 잠실동,201906,177000,202003,63895
244,서울특별시 송파구 마천동,201906,72000,202003,63847
245,서울특별시 송파구 오금동,201906,92300,202003,63563
246,서울특별시 송파구 가락동,201906,85500,202003,62315
